assessment_version,facet_code,aq_code,name_en,name_hi,name_ta,description_en,description_hi,description_ta,status
v1,AQ01_F1,AQ_01,Exploratory Openness,,,,,,active
v1,AQ01_F2,AQ_01,Question-Seeking Habit,,,,,,active
v1,AQ01_F3,AQ_01,Deep-Dive Persistence,,,,,,active
v1,AQ01_F4,AQ_01,Self-Initiated Learning,,,,,,active
v1,AQ02_F1,AQ_02,Problem Clarification,,,,,,active
v1,AQ02_F2,AQ_02,Logical Structuring,,,,,,active
v1,AQ02_F3,AQ_02,Perspective Expansion,,,,,,active
v1,AQ02_F4,AQ_02,Precision & Specificity,,,,,,active
v1,AQ03_F1,AQ_03,Pattern Recognition,,,,,,active
v1,AQ03_F2,AQ_03,Cause?Effect Analysis,,,,,,active
v1,AQ03_F3,AQ_03,Comparison & Evaluation,,,,,,active
v1,AQ03_F4,AQ_03,Evidence-Based Conclusion,,,,,,active
v1,AQ03_F5,AQ_03,Error Detection & Correction,,,,,,active
v1,AQ04_F1,AQ_04,Idea Combination,,,,,,active
v1,AQ04_F2,AQ_04,Original Problem Approach,,,,,,active
v1,AQ04_F3,AQ_04,Conceptual Flexibility,,,,,,active
v1,AQ04_F4,AQ_04,Idea Expansion,,,,,,active
v1,AQ04_F5,AQ_04,Cross-Context Application,,,,,,active
v1,AQ05_F1,AQ_05,Feedback Integration,,,,,,active
v1,AQ05_F2,AQ_05,Adaptive Strategy Shift,,,,,,active
v1,AQ05_F3,AQ_05,Error-Based Learning,,,,,,active
v1,AQ05_F4,AQ_05,Openness to New Methods,,,,,,active
v1,AQ05_F5,AQ_05,Self-Monitoring Progress,,,,,,active
v1,AQ06_F1,AQ_06,Sustained Attention,,,,,,active
v1,AQ06_F2,AQ_06,Distraction Management,,,,,,active
v1,AQ06_F3,AQ_06,Task Engagement Depth,,,,,,active
v1,AQ06_F4,AQ_06,Attention Switching Control,,,,,,active
v1,AQ06_F5,AQ_06,Self-Awareness of Attention,,,,,,active
v1,AQ07_F1,AQ_07,Emotional Awareness,,,,,,active
v1,AQ07_F2,AQ_07,Impulse Modulation,,,,,,active
v1,AQ07_F3,AQ_07,Emotional Recovery,,,,,,active
v1,AQ07_F4,AQ_07,Stress Tolerance,,,,,,active
v1,AQ07_F5,AQ_07,Emotion?Action Alignment,,,,,,active
v1,AQ08_F1,AQ_08,Setback Acceptance,,,,,,active
v1,AQ08_F2,AQ_08,Effort Renewal,,,,,,active
v1,AQ08_F3,AQ_08,Challenge Appraisal,,,,,,active
v1,AQ08_F4,AQ_08,Coping Strategy Use,,,,,,active
v1,AQ08_F5,AQ_08,Persistence Under Difficulty,,,,,,active
v1,AQ09_F1,AQ_09,Task Follow-Through,,,,,,active
v1,AQ09_F2,AQ_09,Routine Adherence,,,,,,active
v1,AQ09_F3,AQ_09,Effort Consistency,,,,,,active
v1,AQ09_F4,AQ_09,Delay Tolerance,,,,,,active
v1,AQ09_F5,AQ_09,Self-Directed Accountability,,,,,,active
v1,AQ10_F1,AQ_10,Strength Awareness,,,,,,active
v1,AQ10_F2,AQ_10,Limitation Awareness,,,,,,active
v1,AQ10_F3,AQ_10,Behaviour?Outcome Insight,,,,,,active
v1,AQ10_F4,AQ_10,Reflective Adjustment,,,,,,active
v1,AQ10_F5,AQ_10,Internal Feedback Sensitivity,,,,,,active
v1,AQ11_F1,AQ_11,Idea Articulation,,,,,,active
v1,AQ11_F2,AQ_11,Thought Structuring,,,,,,active
v1,AQ11_F3,AQ_11,Context-Appropriate Expression,,,,,,active
v1,AQ11_F4,AQ_11,Listening for Understanding,,,,,,active
v1,AQ11_F5,AQ_11,Clarification Seeking,,,,,,active
v1,AQ12_F1,AQ_12,Cooperative Contribution,,,,,,active
v1,AQ12_F2,AQ_12,Role Flexibility,,,,,,active
v1,AQ12_F3,AQ_12,Shared Goal Alignment,,,,,,active
v1,AQ12_F4,AQ_12,Constructive Interaction,,,,,,active
v1,AQ12_F5,AQ_12,Supportive Responsiveness,,,,,,active
v1,AQ13_F1,AQ_13,Emotional Cue Recognition,,,,,,active
v1,AQ13_F2,AQ_13,Perspective Taking,,,,,,active
v1,AQ13_F3,AQ_13,Social Context Awareness,,,,,,active
v1,AQ13_F4,AQ_13,Impact Awareness,,,,,,active
