assessment_version,aq_code,name_en,name_hi,name_ta,status
v1,AQ_01,Curiosity Drive,,,active
v1,AQ_02,Inquiry Framing,,,active
v1,AQ_03,Evidence Discernment,,,active
v1,AQ_04,Analytical Decomposition,,,active
v1,AQ_05,Pattern & Quantitative Sensing,,,active
v1,AQ_06,Logical Consistency Checking,,,active
v1,AQ_07,Systems Awareness,,,active
v1,AQ_08,Conceptual Abstraction,,,active
v1,AQ_09,Idea Generation,,,active
v1,AQ_10,Experimentation Mindset,,,active
v1,AQ_11,Applied Solutioning,,,active
v1,AQ_12,Attention Regulation,,,active
v1,AQ_13,Precision & Accuracy Care,,,active
v1,AQ_14,Planning & Prioritization,,,active
v1,AQ_15,Goal Commitment,,,active
v1,AQ_16,Persistence & Grit,,,active
v1,AQ_17,Self-Discipline & Habit Control,,,active
v1,AQ_18,Adaptive Flexibility,,,active
v1,AQ_19,Feedback Openness,,,active
v1,AQ_20,Emotional Insight,,,active
v1,AQ_21,Stress Tolerance,,,active
v1,AQ_22,Perspective Taking,,,active
v1,AQ_23,Cooperative Responsibility,,,active
v1,AQ_24,Integrity & Fairness,,,active
v1,AQ_25,Communication Effectiveness,,,active
