id,question_code,question_text_en,question_text_hi,question_text_ta,skill_id,weight,group_id,prerequisite_qid
1,AQ01_F1_Q001,"When I notice something unfamiliar, I feel interested in learning what it is about.",,,6,1,,
2,AQ01_F1_Q002,I enjoy paying attention to new or unusual things around me.,,,6,1,,
3,AQ01_F1_Q003,New topics usually catch my interest.,,,6,1,,
4,AQ01_F1_Q004,I prefer to focus only on things I already know well.,,,6,1,,
5,AQ01_F1_Q005,I usually avoid unfamiliar topics.,,,6,1,,
6,AQ01_F1_Q006,I express ideas in my own way rather than copying examples.,,,6,1,,
7,AQ01_F2_Q001,"When something is unclear, I feel like asking questions to understand it better.",,,6,1,,
8,AQ01_F2_Q002,I often think of questions when learning something new.,,,6,1,,
9,AQ01_F2_Q003,I like to figure out what I still don??????t understand about a topic.,,,6,1,,
10,AQ01_F2_Q004,"If I don??????t understand something, I usually ignore it.",,,6,1,,
11,AQ01_F2_Q005,I rarely think of questions while learning.,,,6,1,,
12,AQ01_F2_Q006,I combine ideas to create something new.,,,6,1,,
13,AQ01_F3_Q001,"When a topic interests me, I like to explore it beyond the basics.",,,6,1,,
14,AQ01_F3_Q002,I enjoy spending time understanding topics in more depth.,,,6,1,,
15,AQ01_F3_Q003,I like connecting different details about a topic I find interesting.,,,6,1,,
16,AQ01_F3_Q004,"Once I get the main idea, I usually stop thinking about it.",,,6,1,,
17,AQ01_F3_Q005,"I don??????t like spending extra time on topics, even if they interest me.",,,6,1,,
18,AQ01_F4_Q001,I often explore topics on my own without being asked.,,,6,1,,
19,AQ01_F4_Q002,"If something interests me, I try to learn more about it on my own.",,,6,1,,
20,AQ01_F4_Q003,I like starting to learn new things without waiting for instructions.,,,6,1,,
21,AQ01_F4_Q004,I usually wait for someone else to tell me what to learn next.,,,6,1,,
22,AQ01_F4_Q005,I don??????t usually explore topics unless it is required.,,,6,1,,
23,AQ02_F1_Q001,"When faced with a problem, I try to clearly understand what the problem actually is before thinking of answers.",,,6,1,,
24,AQ02_F1_Q002,I like to break down a confusing situation to understand what is really being asked.,,,6,1,,
25,AQ02_F1_Q003,"Before responding, I try to make sure I understand the question or situation clearly.",,,6,1,,
26,AQ02_F1_Q004,I often jump into answering without fully understanding the problem.,,,6,1,,
27,AQ02_F1_Q005,I rarely pause to clarify what a problem is asking.,,,6,1,,
28,AQ02_F1_Q006,I question information before accepting it as correct.,,,6,1,,
29,AQ02_F2_Q001,"When thinking about an issue, I try to arrange my thoughts in a clear order.",,,6,1,,
30,AQ02_F2_Q002,I find it helpful to think step by step when dealing with a problem.,,,6,1,,
31,AQ02_F2_Q003,I try to connect ideas in a sensible order when explaining something.,,,6,1,,
32,AQ02_F2_Q004,My thoughts often feel scattered when I try to understand a problem.,,,6,1,,
33,AQ02_F2_Q005,I usually think about problems in a random order.,,,6,1,,
34,AQ02_F2_Q006,I build on ideas shared by others during group work.,,,6,1,,
35,AQ02_F3_Q001,I try to look at a problem from more than one point of view.,,,6,1,,
36,AQ02_F3_Q002,I think about how different people might see the same situation.,,,6,1,,
37,AQ02_F3_Q003,I like to consider different angles before forming an opinion.,,,6,1,,
38,AQ02_F3_Q004,I usually stick to one viewpoint when thinking about a problem.,,,6,1,,
39,AQ02_F3_Q005,I rarely think about alternative ways of seeing a situation.,,,6,1,,
40,AQ02_F4_Q001,I try to be clear and specific about what I want to understand.,,,6,1,,
41,AQ02_F4_Q002,I find it helpful to focus on exact details when asking or thinking about something.,,,6,1,,
42,AQ02_F4_Q003,I try to avoid being vague when thinking about a problem.,,,6,1,,
43,AQ02_F4_Q004,I am usually comfortable with unclear or vague questions.,,,6,1,,
44,AQ02_F4_Q005,I don??????t feel the need to be specific when trying to understand something.,,,6,1,,
45,AQ03_F1_Q001,I notice similarities when situations or problems repeat.,,,18,1,,
46,AQ03_F1_Q002,I can spot common patterns across different examples.,,,18,1,,
47,AQ03_F1_Q003,I try to connect repeated ideas or steps when learning something.,,,18,1,,
48,AQ03_F1_Q004,I rarely notice patterns unless someone points them out.,,,18,1,,
49,AQ03_F1_Q005,I usually see each situation as completely separate from others.,,,18,1,,
50,AQ03_F1_Q006,I break complex information into smaller parts to understand it.,,,18,1,,
51,AQ03_F2_Q001,"I try to understand why something happened, not just what happened.",,,18,1,,
52,AQ03_F2_Q002,I think about how one action can lead to another.,,,18,1,,
53,AQ03_F2_Q003,I try to trace results back to their possible causes.,,,18,1,,
54,AQ03_F2_Q004,I don??????t usually think about what caused a situation.,,,18,1,,
55,AQ03_F2_Q005,"Outcomes often feel random to me, without clear reasons.",,,18,1,,
56,AQ03_F2_Q006,I check where information comes from before using it.,,,18,1,,
57,AQ03_F3_Q001,I like comparing different options before choosing one.,,,18,1,,
58,AQ03_F3_Q002,I think about the pros and cons of different choices.,,,18,1,,
59,AQ03_F3_Q003,I find it helpful to compare examples to understand differences.,,,18,1,,
