public|alembic_version|alembic_version_pkc|PRIMARY KEY|version_num|public|alembic_version|version_num
public|aq_facets|aq_facets_pkey|PRIMARY KEY|facet_id|public|aq_facets|facet_id
public|aq_facets_v|fk_aq_facets_v_version_aq|FOREIGN KEY|assessment_version|public|associated_qualities_v|aq_code
public|aq_facets_v|fk_aq_facets_v_version_aq|FOREIGN KEY|assessment_version|public|associated_qualities_v|assessment_version
public|aq_facets_v|fk_aq_facets_v_version_aq|FOREIGN KEY|aq_code|public|associated_qualities_v|assessment_version
public|aq_facets_v|fk_aq_facets_v_version_aq|FOREIGN KEY|aq_code|public|associated_qualities_v|aq_code
public|aq_facets_v|aq_facets_v_pkey|PRIMARY KEY|id|public|aq_facets_v|id
public|aq_facets_v|uq_aq_facets_v_version_facet|UNIQUE|assessment_version|public|aq_facets_v|facet_code
public|aq_facets_v|uq_aq_facets_v_version_facet|UNIQUE|assessment_version|public|aq_facets_v|assessment_version
public|aq_facets_v|uq_aq_facets_v_version_facet|UNIQUE|facet_code|public|aq_facets_v|facet_code
public|aq_facets_v|uq_aq_facets_v_version_facet|UNIQUE|facet_code|public|aq_facets_v|assessment_version
public|assessment_questions|assessment_questions_assessment_id_fkey|FOREIGN KEY|assessment_id|public|assessments|id
public|assessment_questions|assessment_questions_question_id_fkey|FOREIGN KEY|question_id|public|questions|id
public|assessment_questions|assessment_questions_pkey|PRIMARY KEY|id|public|assessment_questions|id
public|assessment_responses|assessment_responses_assessment_id_fkey|FOREIGN KEY|assessment_id|public|assessments|id
public|assessment_responses|assessment_responses_question_id_fkey|FOREIGN KEY|question_id|public|questions|id
public|assessment_responses|assessment_responses_pkey|PRIMARY KEY|id|public|assessment_responses|id
public|assessment_responses|uq_assessment_responses_assessment_id_idempotency_key|UNIQUE|assessment_id|public|assessment_responses|idempotency_key
public|assessment_responses|uq_assessment_responses_assessment_id_idempotency_key|UNIQUE|assessment_id|public|assessment_responses|assessment_id
public|assessment_responses|uq_assessment_responses_assessment_id_idempotency_key|UNIQUE|idempotency_key|public|assessment_responses|idempotency_key
public|assessment_responses|uq_assessment_responses_assessment_id_idempotency_key|UNIQUE|idempotency_key|public|assessment_responses|assessment_id
public|assessment_responses|uq_assessment_responses_assessment_question|UNIQUE|assessment_id|public|assessment_responses|assessment_id
public|assessment_responses|uq_assessment_responses_assessment_question|UNIQUE|assessment_id|public|assessment_responses|question_id
public|assessment_responses|uq_assessment_responses_assessment_question|UNIQUE|question_id|public|assessment_responses|question_id
public|assessment_responses|uq_assessment_responses_assessment_question|UNIQUE|question_id|public|assessment_responses|assessment_id
public|assessment_results|assessment_results_assessment_id_fkey|FOREIGN KEY|assessment_id|public|assessments|id
public|assessment_results|assessment_results_pkey|PRIMARY KEY|id|public|assessment_results|id
public|assessment_results|assessment_results_assessment_id_key|UNIQUE|assessment_id|public|assessment_results|assessment_id
public|assessments|assessments_user_id_fkey|FOREIGN KEY|user_id|public|users|id
public|assessments|assessments_pkey|PRIMARY KEY|id|public|assessments|id
public|associated_qualities_v|associated_qualities_v_pkey|PRIMARY KEY|id|public|associated_qualities_v|id
public|associated_qualities_v|uq_associated_qualities_v_version_code|UNIQUE|assessment_version|public|associated_qualities_v|assessment_version
public|associated_qualities_v|uq_associated_qualities_v_version_code|UNIQUE|assessment_version|public|associated_qualities_v|aq_code
public|associated_qualities_v|uq_associated_qualities_v_version_code|UNIQUE|aq_code|public|associated_qualities_v|assessment_version
public|associated_qualities_v|uq_associated_qualities_v_version_code|UNIQUE|aq_code|public|associated_qualities_v|aq_code
public|career_clusters|career_clusters_pkey|PRIMARY KEY|id|public|career_clusters|id
public|career_clusters|career_clusters_name_key|UNIQUE|name|public|career_clusters|name
public|career_keyskill_association|career_keyskill_association_career_id_fkey|FOREIGN KEY|career_id|public|careers|id
public|career_keyskill_association|career_keyskill_association_keyskill_id_fkey|FOREIGN KEY|keyskill_id|public|keyskills|id
public|careers|careers_cluster_id_fkey|FOREIGN KEY|cluster_id|public|career_clusters|id
public|careers|careers_pkey|PRIMARY KEY|id|public|careers|id
public|consent_logs|consent_logs_pkey|PRIMARY KEY|id|public|consent_logs|id
public|context_profile|fk_context_profile_assessment_id|FOREIGN KEY|assessment_id|public|assessments|id
public|context_profile|fk_context_profile_student_id|FOREIGN KEY|student_id|public|students|id
public|context_profile|context_profile_pkey|PRIMARY KEY|id|public|context_profile|id
public|context_profile|uq_context_profile_assessment_id|UNIQUE|assessment_id|public|context_profile|assessment_id
public|explanation_translations|explanation_translations_locale_fkey|FOREIGN KEY|locale|public|languages|code
public|explanation_translations|explanation_translations_pkey|PRIMARY KEY|id|public|explanation_translations|id
public|explanation_translations|uq_et_v_l_k|UNIQUE|content_version|public|explanation_translations|content_version
public|explanation_translations|uq_et_v_l_k|UNIQUE|content_version|public|explanation_translations|locale
public|explanation_translations|uq_et_v_l_k|UNIQUE|content_version|public|explanation_translations|explanation_key
public|explanation_translations|uq_et_v_l_k|UNIQUE|locale|public|explanation_translations|locale
public|explanation_translations|uq_et_v_l_k|UNIQUE|locale|public|explanation_translations|explanation_key
public|explanation_translations|uq_et_v_l_k|UNIQUE|locale|public|explanation_translations|content_version
